,,,ID,,,,,,,,,,,lon,lat,,,,
11,I,44,42812127,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420104.14,535335.02,420124.02,535355.09,10,1
11,I,45,42812128,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419817,535162.95,419561.57,535294.71,10,3
11,I,46,42812129,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419637.57,535255.11,419624.59,535230.15,10,1
11,I,47,42812130,1,1355,2,21/04/2008,1,1,21/04/2008,15/09/2015,10/07/2014,,419391.58,535333.79,419404.47,535370.96,10,1
11,I,48,42812131,1,1355,2,21/04/2008,1,1,21/04/2008,03/10/2018,10/07/2014,,420076.24,535123.38,420157.85,535074.53,10,5
11,I,49,42812132,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419868.76,535249.01,419876.52,535197.12,10,1
11,I,50,42812134,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419585.85,535314.51,419615.26,535361.12,10,1
11,I,51,42812135,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,03/10/2012,,420287.23,535553.42,420244,535645,10,1
11,I,52,42812136,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420104.14,535335.02,420137,535287,10,1
11,I,53,42812137,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419236.42,535479.93,419304.81,535652.68,10,1
11,I,54,42812138,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419962.54,535199.94,420022.48,535167.42,10,1
11,I,55,42812139,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419278.93,535509.69,419411.55,535405.72,10,1
11,I,56,42812140,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420106.1,535142,420179.55,535215.24,10,1
11,I,57,42812141,1,1355,2,21/04/2008,1,1,21/04/2008,14/06/2018,10/07/2014,,420565.57,533446.42,420558.86,533529.94,10,2
11,I,58,42812142,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420558.86,533529.94,420533,533636,10,1
11,I,59,42812143,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420646,533504.76,420512.52,533409.61,10,5
11,I,60,42812144,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420500.76,533485.33,420535,533512,10,1
11,I,61,42812145,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419313.67,534425.62,419329.94,534413.76,10,1
11,I,62,42812146,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419597.07,534211.77,419660.19,534305.46,10,1
11,I,63,42812148,1,1355,2,21/04/2008,1,1,21/04/2008,21/09/2017,10/07/2014,,418974.88,534719.98,419112.52,534650.89,10,5
11,I,64,42812149,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419446.5,534277.3,419390.25,534367.37,10,2
11,I,65,42812150,1,1355,2,21/04/2008,1,1,21/04/2008,05/09/2018,10/07/2014,,419175.26,534508.21,419159,534434,10,5
11,I,66,42812151,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419619.95,534379.34,419461.37,534313.35,10,3
11,I,67,42812152,1,1355,2,21/04/2008,1,1,21/04/2008,21/03/2018,10/07/2014,,419253.71,534463.36,419235.41,534392.94,10,1
11,I,68,42812153,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419621.78,534194.21,419685.38,534290.56,10,1
11,I,69,42812154,1,1355,2,21/04/2008,1,1,21/04/2008,21/09/2017,10/07/2014,,418862.82,534736.13,418911.28,534588.82,10,11
11,I,70,42812155,1,1355,2,21/04/2008,1,1,21/04/2008,06/09/2018,10/07/2014,,419098.14,531121.33,419799.19,530825.37,10,14
11,I,71,42812156,1,1355,2,21/04/2008,1,1,21/04/2008,01/11/2019,10/07/2014,,420115.57,530537.57,420142.24,530709.21,10,5
11,I,72,42812157,1,1355,2,21/04/2008,1,1,21/04/2008,25/07/2017,10/07/2014,,419884.5,530687.89,419813.17,530805.51,10,3
11,I,73,42812158,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420115.57,530537.57,419799.19,530825.37,10,7
11,I,74,42812159,1,1355,2,21/04/2008,1,1,21/04/2008,25/07/2017,10/07/2014,,419884.5,530687.89,419974.62,530613.13,10,1
11,I,75,42812160,1,1355,5,21/04/2008,1,1,21/04/2008,16/06/2016,10/07/2014,,416293,533051,416547.58,531614.58,10,1
11,I,76,42812161,1,1355,2,21/04/2008,1,1,21/04/2008,10/07/2015,10/07/2014,,416988.29,529607.71,417216.72,530264.66,10,3
11,I,77,42812162,1,1355,5,21/04/2008,1,1,21/04/2008,06/09/2017,10/07/2014,,417562.49,529720.51,417469.96,530240.48,10,1
11,I,78,42812163,1,1355,2,21/04/2008,1,1,21/04/2008,06/09/2017,10/07/2014,,417562.49,529720.51,417469.96,530240.48,10,5
11,I,79,42812164,1,1355,2,21/04/2008,1,1,21/04/2008,14/09/2015,10/07/2014,,418934.14,530104.86,418985.29,529998.13,10,3
11,I,80,42812165,1,1355,2,21/04/2008,1,1,21/04/2008,14/09/2015,10/07/2014,,419044.15,530237.36,418975.72,530158.05,1,2
11,I,81,42812166,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,418813.76,530095.89,418975.72,530158.05,10,5
11,I,82,42812167,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419194.59,528730.87,419386,528814,10,3
11,I,83,42812168,1,1355,2,14/12/2015,1,1,21/04/2008,14/12/2015,10/07/2014,,420123.45,529033.49,419883.9,529226.49,10,22
11,I,84,42812169,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419691.82,528902.82,419879,528968,10,1
11,I,85,42812170,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419201.39,528700.49,419170,528677,10,3
11,I,86,42812171,1,1355,2,21/04/2008,1,1,21/04/2008,14/12/2015,10/07/2014,,420123.45,529033.49,420050.93,529139.95,10,1
11,I,87,42812172,1,1355,2,21/04/2008,1,1,21/04/2008,10/08/2017,10/07/2014,,419357.69,528593.39,419546,528776,10,15
11,I,88,42812173,1,1355,2,21/04/2008,1,1,21/04/2008,26/09/2018,10/07/2014,,419181,528874,419243.78,528790.42,10,4
11,I,89,42812174,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419037,529105,419282,529000.4,10,15
11,I,90,42812175,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419185.91,528915.81,419157,528821.46,10,2
11,I,91,42812176,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419328,528940,419108.97,528920.33,10,4
11,I,92,42812177,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,423140.99,531919,423095.73,531989.3,10,2
11,I,93,42812178,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,422690.64,532130.26,423187.83,531910.21,10,6
11,I,94,42812180,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,423032.41,531985.4,423079.36,532059.88,10,1
11,I,95,42812181,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,423080.14,531960.52,423115,532006.43,10,2
11,I,96,42812182,1,1355,2,21/04/2008,1,1,21/04/2008,27/08/2020,10/07/2014,,421673,528383,421706,528442,10,2
11,I,97,42812183,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,421745,528290,421734,528269,10,1
11,I,98,42812184,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,421827,528349,421795.86,528298.57,10,1
11,I,99,42812187,1,1355,2,21/04/2008,1,1,21/04/2008,27/06/2017,10/07/2014,,425407.29,531194.92,424228.03,531088.46,10,10
11,I,100,42812188,1,1355,2,21/04/2008,1,1,21/04/2008,13/02/2018,10/07/2014,,425477.52,531231.39,424693,530795.01,1,6
11,I,101,42812189,1,1355,2,21/04/2008,1,1,21/04/2008,26/08/2015,10/07/2014,,418838.84,529993.67,418878.42,530002.68,10,3
11,I,102,42812191,1,1355,2,21/04/2008,1,1,21/04/2008,24/07/2017,10/07/2014,,420743.29,535009.03,420860.8,535054.59,10,9
